Date,Day,Wom,Month,Year,Offered,Adj-off
21-Aug-14,Thursday,3,Aug,2014,393,393
22-Aug-14,Friday,4,Aug,2014,358,358
23-Aug-14,Saturday,4,Aug,2014,271,271
24-Aug-14,Sunday,4,Aug,2014,199,199
25-Aug-14,Monday,4,Aug,2014,427,427
26-Aug-14,Tuesday,4,Aug,2014,389,389
27-Aug-14,Wednesday,4,Aug,2014,410,410
28-Aug-14,Thursday,4,Aug,2014,562,562
29-Aug-14,Friday,5,Aug,2014,460,460
30-Aug-14,Saturday,5,Aug,2014,222,222
31-Aug-14,Sunday,5,Aug,2014,148,148
1-Sep-14,Monday,1,Sep,2014,237,237
2-Sep-14,Tuesday,1,Sep,2014,348,348
3-Sep-14,Wednesday,1,Sep,2014,354,354
4-Sep-14,Thursday,1,Sep,2014,369,369
5-Sep-14,Friday,1,Sep,2014,336,336
6-Sep-14,Saturday,1,Sep,2014,184,184
7-Sep-14,Sunday,1,Sep,2014,129,129
8-Sep-14,Monday,2,Sep,2014,416,416
9-Sep-14,Tuesday,2,Sep,2014,417,417
10-Sep-14,Wednesday,2,Sep,2014,471,471
11-Sep-14,Thursday,2,Sep,2014,503,503
12-Sep-14,Friday,2,Sep,2014,408,408
13-Sep-14,Saturday,2,Sep,2014,230,230
14-Sep-14,Sunday,2,Sep,2014,190,190
15-Sep-14,Monday,3,Sep,2014,413,413
16-Sep-14,Tuesday,3,Sep,2014,405,405
17-Sep-14,Wednesday,3,Sep,2014,383,383
18-Sep-14,Thursday,3,Sep,2014,354,354
19-Sep-14,Friday,3,Sep,2014,414,414
20-Sep-14,Saturday,3,Sep,2014,196,196
21-Sep-14,Sunday,3,Sep,2014,166,166
22-Sep-14,Monday,4,Sep,2014,421,421
23-Sep-14,Tuesday,4,Sep,2014,387,387
24-Sep-14,Wednesday,4,Sep,2014,474,474
25-Sep-14,Thursday,4,Sep,2014,331,331
26-Sep-14,Friday,4,Sep,2014,322,322
27-Sep-14,Saturday,4,Sep,2014,173,173
28-Sep-14,Sunday,4,Sep,2014,129,129
29-Sep-14,Monday,5,Sep,2014,388,388
30-Sep-14,Tuesday,5,Sep,2014,353,353
1-Oct-14,Wednesday,1,Oct,2014,423,423
2-Oct-14,Thursday,1,Oct,2014,348,348
3-Oct-14,Friday,1,Oct,2014,346,346
4-Oct-14,Saturday,1,Oct,2014,179,179
5-Oct-14,Sunday,1,Oct,2014,130,130
6-Oct-14,Monday,1,Oct,2014,413,413
7-Oct-14,Tuesday,1,Oct,2014,405,405
8-Oct-14,Wednesday,2,Oct,2014,892,447
9-Oct-14,Thursday,2,Oct,2014,534,534
10-Oct-14,Friday,2,Oct,2014,421,421
11-Oct-14,Saturday,2,Oct,2014,231,231
12-Oct-14,Sunday,2,Oct,2014,178,178
13-Oct-14,Monday,2,Oct,2014,416,416
14-Oct-14,Tuesday,2,Oct,2014,350,350
15-Oct-14,Wednesday,3,Oct,2014,391,391
16-Oct-14,Thursday,3,Oct,2014,439,439
17-Oct-14,Friday,3,Oct,2014,362,362
18-Oct-14,Saturday,3,Oct,2014,173,173
19-Oct-14,Sunday,3,Oct,2014,168,168
20-Oct-14,Monday,3,Oct,2014,376,376
21-Oct-14,Tuesday,3,Oct,2014,346,346
22-Oct-14,Wednesday,4,Oct,2014,402,402
23-Oct-14,Thursday,4,Oct,2014,451,451
24-Oct-14,Friday,4,Oct,2014,373,373
25-Oct-14,Saturday,4,Oct,2014,208,208
26-Oct-14,Sunday,4,Oct,2014,148,148
27-Oct-14,Monday,4,Oct,2014,406,406
28-Oct-14,Tuesday,4,Oct,2014,351,351
29-Oct-14,Wednesday,5,Oct,2014,386,386
30-Oct-14,Thursday,5,Oct,2014,392,392
31-Oct-14,Friday,5,Oct,2014,272,272
1-Nov-14,Saturday,1,Nov,2014,152,152
